gene	length	distribution
763	10	(prob=0.0006,cumulative=0.2357)
764	7	(prob=0.0004,cumulative=0.2361)
765	5	(prob=0.0003,cumulative=0.2364)
766	6	(prob=0.0004,cumulative=0.2368)
767	5	(prob=0.0003,cumulative=0.2371)
768	6	(prob=0.0004,cumulative=0.2374)
769	9	(prob=0.0005,cumulative=0.2380)
770	5	(prob=0.0003,cumulative=0.2383)
771	7	(prob=0.0004,cumulative=0.2387)
772	10	(prob=0.0006,cumulative=0.2393)
773	10	(prob=0.0006,cumulative=0.2399)
774	10	(prob=0.0006,cumulative=0.2404)
775	8	(prob=0.0005,cumulative=0.2409)
776	10	(prob=0.0006,cumulative=0.2415)
777	4	(prob=0.0002,cumulative=0.2417)
778	9	(prob=0.0005,cumulative=0.2423)
779	8	(prob=0.0005,cumulative=0.2427)
780	7	(prob=0.0004,cumulative=0.2432)
781	5	(prob=0.0003,cumulative=0.2435)
782	9	(prob=0.0005,cumulative=0.2440)
783	5	(prob=0.0003,cumulative=0.2443)
